"","station.id","station.name","station.latitude","station.longitude","total_count","tract"
"1","519","Pershing Square North",40.751873,-73.977706,17779,"36061008000"
"2","435","W 21 St & 6 Ave",40.74173969,-73.99415556,13043,"36061008700"
"3","3255","8 Ave & W 31 St",40.7505853470215,-73.9946848154068,12846,"36061010300"
"4","402","Broadway & E 22 St",40.7403432,-73.98955109,12647,"36061005600"
"5","497","E 17 St & Broadway",40.73704984,-73.99009296,11601,"36061005200"
"6","477","W 41 St & 8 Ave",40.75640548,-73.9900262,11109,"36061011300"
"7","285","Broadway & E 14 St",40.73454567,-73.99074142,10678,"36061006100"
"8","490","8 Ave & W 33 St",40.751551,-73.993934,10478,"36061010300"
"9","359","E 47 St & Park Ave",40.75510267,-73.97498696,10187,"36061009200"
"10","3660","W 16 St & 8 Ave",40.7410215090027,-74.001384973526,10000,"36061008100"
"11","293","Lafayette St & E 8 St",40.7302066052995,-73.9910262823105,9593,"36061005700"
"12","459","W 20 St & 11 Ave",40.746745,-74.007756,9282,"36061009900"
"13","523","W 38 St & 8 Ave",40.75466591,-73.99138152,9276,"36061011300"
"14","379","W 31 St & 7 Ave",40.749156,-73.9916,9257,"36061010100"
"15","505","6 Ave & W 33 St",40.74901271,-73.98848395,9182,"36061010100"
"16","492","W 33 St & 7 Ave",40.75019995,-73.99093085,8916,"36061010100"
"17","3641","Broadway & W 25 St",40.7428687731211,-73.9891862869263,8851,"36061005800"
"18","465","Broadway & W 41 St",40.75513557,-73.98658032,8681,"36061011300"
"19","468","Broadway & W 56 St",40.7652654,-73.98192338,8604,"36061013700"
"20","504","1 Ave & E 16 St",40.73221853,-73.98165557,8564,"36061004400"
"21","3263","Cooper Square & Astor Pl",40.7295149622495,-73.990752696991,8459,"36061004200"
"22","491","E 24 St & Park Ave S",40.74096374,-73.98602213,8345,"36061005600"
"23","3443","W 52 St & 6 Ave",40.7613298312481,-73.9798200130463,8343,"36061013100"
"24","517","Pershing Square South",40.751581,-73.97791,8335,"36061008000"
"25","472","E 32 St & Park Ave",40.7457121,-73.98194829,8305,"36061007200"
"26","3435","Grand St & Elizabeth St",40.718822,-73.99596,8105,"36061004100"
"27","368","Carmine St & 6 Ave",40.73038599,-74.00214988,8062,"36061006700"
"28","382","University Pl & E 14 St",40.73492695,-73.99200509,8040,"36061006100"
"29","358","Christopher St & Greenwich St",40.73291553,-74.00711384,7959,"36061006900"
"30","168","W 18 St & 6 Ave",40.73971301,-73.99456405,7775,"36061005400"
"31","446","W 24 St & 7 Ave",40.74487634,-73.99529885,7750,"36061009100"
"32","3711","E 13 St & Avenue A",40.7296672939298,-73.9806796610355,7693,"36061003400"
"33","229","Great Jones St",40.72743423,-73.99379025,7654,"36061005502"
"34","297","E 15 St & 3 Ave",40.734232,-73.986923,7607,"36061005000"
"35","173","Broadway & W 49 St",40.7606832709659,-73.9845272898674,7522,"36061012500"
"36","237","E 11 St & 2 Ave",40.73047309,-73.98672378,7509,"36061004000"
"37","151","Cleveland Pl & Spring St",40.722103786686,-73.997249007225,7469,"36061004500"
"38","3141","1 Ave & E 68 St",40.76500525,-73.95818491,7306,"36061011800"
"39","498","Broadway & W 32 St",40.74854862,-73.98808416,7282,"36061007600"
"40","499","Broadway & W 60 St",40.76915505,-73.98191841,7221,"36061014500"
"41","445","E 10 St & Avenue A",40.72740794,-73.98142006,7149,"36061003200"
"42","545","E 23 St & 1 Ave",40.736502,-73.97809472,7125,"36061006000"
"43","3687","E 33 St & 1 Ave",40.7432268143217,-73.9744978398085,7116,"36061007000"
"44","3233","E 48 St & 5 Ave",40.7572456791173,-73.978059142828,7050,"36061009400"
"45","486","Broadway & W 29 St",40.7462009,-73.98855723,6995,"36061007600"
"46","509","9 Ave & W 22 St",40.7454973,-74.00197139,6961,"36061008900"
"47","442","W 27 St & 7 Ave",40.746647,-73.993915,6957,"36061009500"
"48","461","E 20 St & 2 Ave",40.73587678,-73.98205027,6922,"36061006400"
"49","432","E 7 St & Avenue A",40.72621788,-73.98379855,6881,"36061003200"
"50","496","E 16 St & 5 Ave",40.73726186,-73.99238967,6876,"36061005200"
"51","507","E 25 St & 2 Ave",40.73912601,-73.97973776,6780,"36061006600"
"52","494","W 26 St & 8 Ave",40.74734825,-73.99723551,6773,"36061009700"
"53","3664","North Moore St & Greenwich St",40.7201952143746,-74.0103006362915,6601,"36061003900"
"54","487","E 20 St & FDR Drive",40.73314259,-73.97573881,6598,"36061004400"
"55","312","Allen St & Stanton St",40.722055,-73.989111,6585,"36061003601"
"56","466","W 25 St & 6 Ave",40.74395411,-73.99144871,6545,"36061005800"
"57","2003","1 Ave & E 18 St",40.7338121919663,-73.9805442094803,6511,"36061004400"
"58","3002","South End Ave & Liberty St",40.711512,-74.015756,6393,"36061031704"
"59","3427","Lafayette St & Jersey St",40.7243052725033,-73.9960098266602,6389,"36061004300"
"60","426","West St & Chambers St",40.71754834,-74.01322069,6381,"36061031703"
"61","528","2 Ave & E 31 St",40.74290902,-73.97706058,6353,"36061007000"
"62","479","9 Ave & W 45 St",40.76019252,-73.9912551,6330,"36061012100"
"63","307","Canal St & Rutgers St",40.71427487,-73.98990025,6305,"36061000600"
"64","518","E 39 St & 2 Ave",40.74780373,-73.9734419,6201,"36061007800"
"65","3258","W 27 St & 10 Ave",40.7501815632568,-74.0021842718124,6187,"36061009700"
"66","127","Barrow St & Hudson St",40.73172428,-74.00674436,6150,"36061006900"
"67","326","E 11 St & 1 Ave",40.72953837,-73.98426726,6136,"36061004000"
"68","350","Clinton St & Grand St",40.71559509,-73.9870295,6130,"36061001401"
"69","453","W 22 St & 8 Ave",40.74475148,-73.99915362,6126,"36061009300"
"70","474","5 Ave & E 29 St",40.7451677,-73.98683077,5988,"36061007400"
"71","3235","E 41 St & Madison Ave",40.752165280622,-73.9799219369888,5983,"36061008200"
